"url","Analyticsimg","Analyticsimg_alt","Analyticsimg_link","Indexedbiz","Biznameclick","Biznameclick_link","Reviewcount","Business","Categorylisttext","Categorylistlink","Categorylistlink_link","Secondary 1","Secondary 2","Phonenumber","Photoboximg","Photoboximg_alt","Photoboximg_link","Snippet","Readmore","Readmore_link"
"https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&ns=1","https://s3-media2.fl.yelpcdn.com/bphoto/zGg2DntxA2g6cHH-RGyYUQ/90s.jpg","Frostbites Crepes and Frozen Delights","https://www.yelp.com/biz/frostbites-crepes-and-frozen-delights-costa-mesa","1.","Frostbites Crepes and Frozen Delights","https://www.yelp.com/biz/frostbites-crepes-and-frozen-delights-costa-mesa","444 reviews","$","Ice Cream & Frozen Yogurt, Creperies","Ice Cream & Frozen Yogurt; Creperies","https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=icecream; https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=creperies","2801 Harbor Blvd","Costa Mesa, CA 92626","(714) 444-2988","https://s3-media2.fl.yelpcdn.com/photo/KzKhcV4HlZqvb1neW3thbw/30s.jpg","David D.","https://www.yelp.com/user_details?userid=HLK3NRSDnr2fjEZnelNKeQ","So I don't write many reviews (as you can see from my account history) but this is one I gotta go out of my way to review. I've been living in Costa Mesa for about two years and…","read more","https://www.yelp.com/biz/frostbites-crepes-and-frozen-delights-costa-mesa?hrid=5hnCzZXDtmfAFF0KsFwfNQ"
"https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&ns=1","https://s3-media4.fl.yelpcdn.com/bphoto/SSMDTIc5S-ngDm0JFUvg2Q/90s.jpg","Rincon Argentino","https://www.yelp.com/biz/rincon-argentino-costa-mesa-3","2.","Rincon Argentino","https://www.yelp.com/biz/rincon-argentino-costa-mesa-3","96 reviews","$","Argentine, Pizza, Sandwiches","Argentine; Pizza; Sandwiches","https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=argentine; https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=pizza; https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=sandwiches","2346 Newport Blvd","Costa Mesa, CA 92627","(949) 642-3299","https://s3-media1.fl.yelpcdn.com/photo/MsUfT_klDdCOVpoE5rRXIg/30s.jpg","Liubys M.","https://www.yelp.com/user_details?userid=fF7__2E4T7H601qkf3_kPQ","Let's TALK about this place. Let's talk about how delicious, filling and exquisite the empanadas are. Let's wax poetic on the chimichurri sauce, the other flavors on the menu I'm…","read more","https://www.yelp.com/biz/rincon-argentino-costa-mesa-3?hrid=2Jhtkys4qB7vszFK48koFg"
"https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&ns=1","https://s3-media2.fl.yelpcdn.com/bphoto/OROk_qkK4c-UYGrc7S31kA/90s.jpg","Al Forno Caffe","https://www.yelp.com/biz/al-forno-caffe-costa-mesa-3","3.","Al Forno Caffe","https://www.yelp.com/biz/al-forno-caffe-costa-mesa-3","367 reviews","$$","Italian","Italian","https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=italian","1525 Mesa Verde E","Costa Mesa, CA 92626","(657) 232-0100","https://s3-media4.fl.yelpcdn.com/photo/218cwX5OCWBnVWOyQs-K0Q/30s.jpg","Adrian K.","https://www.yelp.com/user_details?userid=X5jQWG92gohyFeZlXrT0ww","Delicious pasta, and not to mention today's top hits covered by a rather charming man on an accordion.  Dessert is a definite must.   Perfect place to spend a birthday or just a…","read more","https://www.yelp.com/biz/al-forno-caffe-costa-mesa-3?hrid=hrbAkeMaN3mPX-sIQcRVhQ"
"https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&ns=1","https://s3-media2.fl.yelpcdn.com/bphoto/5SxOkXAl9mSLnW7gA5uxDw/90s.jpg","Wok-In","https://www.yelp.com/biz/wok-in-costa-mesa","4.","Wok-In","https://www.yelp.com/biz/wok-in-costa-mesa","132 reviews","$","Chinese, Vietnamese","Chinese; Vietnamese","https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=chinese; https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=vietnamese","2394 Newport Blvd","Costa Mesa, CA 92627","(949) 287-6785","https://s3-media2.fl.yelpcdn.com/photo/BaPizbTgX-AU-_Drmdhs2A/30s.jpg","Kent D.","https://www.yelp.com/user_details?userid=3vTf1xay9Oewde1BzakcQw","Located off Newport Blvd parallel to the 55, this restaurant is not particularly easy to find. However, once you do find it, you'll see it's a hidden treasure. As others have…","read more","https://www.yelp.com/biz/wok-in-costa-mesa?hrid=M8rMZaiLKz4yMCb5FmcDEw"
"https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&ns=1","https://s3-media1.fl.yelpcdn.com/bphoto/llqLNyn4aXdm_DPuQHBuWQ/90s.jpg","Turnip Rose Cafe","https://www.yelp.com/biz/turnip-rose-cafe-costa-mesa","5.","Turnip Rose Cafe","https://www.yelp.com/biz/turnip-rose-cafe-costa-mesa","170 reviews","$$","American (New), Cafes, Breakfast & Brunch","American (New); Cafes; Breakfast & Brunch","https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=newamerican; https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=cafes; https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=breakfast_brunch","2701 Harbor Blvd","Costa Mesa, CA 92626","(714) 881-0379","https://s3-media1.fl.yelpcdn.com/photo/-MFMuurOGqEkdyWaeGHOcw/30s.jpg","Michael P.","https://www.yelp.com/user_details?userid=SEbkiJn5gC-QZlEAlAVXZw","The food is exceptional and good.  The service has been welcoming and honest.  I have been here 5 times or so and each time I would ask what's good and I feel like I get honest…","read more","https://www.yelp.com/biz/turnip-rose-cafe-costa-mesa?hrid=leCbZoi0-iQFWcDpGm9p3g"
"https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&ns=1","https://s3-media1.fl.yelpcdn.com/bphoto/Nnu4ecbZnBmKDfTKeZPQOg/90s.jpg","Filomena's Italian Kitchen","https://www.yelp.com/biz/filomenas-italian-kitchen-costa-mesa-3","6.","Filomena’s Italian Kitchen","https://www.yelp.com/biz/filomenas-italian-kitchen-costa-mesa-3","303 reviews","$$","Italian, Pizza, Wine Bars","Italian; Pizza; Wine Bars","https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=italian; https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=pizza; https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=wine_bars","2400 Newport Blvd","Costa Mesa, CA 92627","(949) 642-3810","https://s3-media4.fl.yelpcdn.com/photo/2Ew5LwhfHmajq5VaqGUFLA/30s.jpg","steve m.","https://www.yelp.com/user_details?userid=p4LtaLzlp31qVYeo_8NQiw","Congratulations to Filomena's on a Zagat Review....Well deserved..  Good luck on the deli side too!","read more","https://www.yelp.com/biz/filomenas-italian-kitchen-costa-mesa-3?hrid=YaxO1l3nNk_747pyQX6-gQ"
"https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&ns=1","https://s3-media1.fl.yelpcdn.com/bphoto/Z7miYJTd6I83Moxeo6LYZw/90s.jpg","Kitakata Ramen Ban Nai","https://www.yelp.com/biz/kitakata-ramen-ban-nai-costa-mesa-2","7.","Kitakata Ramen Ban Nai","https://www.yelp.com/biz/kitakata-ramen-ban-nai-costa-mesa-2","1192 reviews","$$","Ramen, Noodles, Soup","Ramen; Noodles; Soup","https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=ramen; https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=noodles; https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=soup","891 Baker St","Costa Mesa, CA 92626","(714) 557-2947","https://s3-media4.fl.yelpcdn.com/photo/2m128N8cG8WXEUEGJotFbA/30s.jpg","Adrienne K.","https://www.yelp.com/user_details?userid=HdSqJX73FoTeJQcYlS3ryg","This was by far the best ramn I have ever had. The service added even more to the experience, they took a lot of time to give us help and recommendations that made our experience.…","read more","https://www.yelp.com/biz/kitakata-ramen-ban-nai-costa-mesa-2?hrid=i34atbR5W7khfKswMjruZw"
"https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&ns=1","https://s3-media4.fl.yelpcdn.com/bphoto/7rtZRVz8fKZKNOxErHeiow/90s.jpg","Hong Kong Express","https://www.yelp.com/biz/hong-kong-express-costa-mesa-2","8.","Hong Kong Express","https://www.yelp.com/biz/hong-kong-express-costa-mesa-2","157 reviews","$","Chinese, Fast Food","Chinese; Fast Food","https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=chinese; https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=hotdogs","2200 Harbor Blvd","Costa Mesa, CA 92627","(949) 642-6963","https://s3-media1.fl.yelpcdn.com/photo/6foS7mTn4T_IRvdffZ3vdg/30s.jpg","Jacqueline V.","https://www.yelp.com/user_details?userid=Q1eZ_xZpJWOz4cXa_Y_W_w","BIG PORTIONS. Come hungry or get ready for leftovers.   I came here because I was craving noodles and this place popped up on my feed. The orange chicken pictures were an added bonus…","read more","https://www.yelp.com/biz/hong-kong-express-costa-mesa-2?hrid=C2dcFwQaSseWdPvuqoYgNg"
"https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&ns=1","https://s3-media4.fl.yelpcdn.com/bphoto/IQTu5-g10CuvvxS3p5Q-4Q/90s.jpg","ETCetera Sushi & Izakaya","https://www.yelp.com/biz/etcetera-sushi-and-izakaya-costa-mesa","9.","ETCetera Sushi & Izakaya","https://www.yelp.com/biz/etcetera-sushi-and-izakaya-costa-mesa","477 reviews","$$","Japanese, Sushi Bars, Tapas Bars","Japanese; Sushi Bars; Tapas Bars","https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=japanese; https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=sushi; https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=tapas","355 Bristol St","Costa Mesa, CA 92626","(657) 231-6222","https://s3-media2.fl.yelpcdn.com/photo/Ty5RTEfEnHu8o2Popqa30w/30s.jpg","Kyle V.","https://www.yelp.com/user_details?userid=hs8DpwHhp204x4tmuZR5ww","Quality food, quality atmosphere, and a quality staff. This place knows how to treat their customers in every possible way. They all greet you when you walk in the door and they all…","read more","https://www.yelp.com/biz/etcetera-sushi-and-izakaya-costa-mesa?hrid=_FS2HuKr9eO9UW0xnMh3RA"
"https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&ns=1","https://s3-media4.fl.yelpcdn.com/bphoto/j90-WQVRCuhNneD4N7Wvug/90s.jpg","Firehouse Subs","https://www.yelp.com/biz/firehouse-subs-costa-mesa","10.","Firehouse Subs","https://www.yelp.com/biz/firehouse-subs-costa-mesa","204 reviews","$","Sandwiches, Delis, Fast Food","Sandwiches; Delis; Fast Food","https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=sandwiches; https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=delis; https://www.yelp.com/search?find_desc=&find_loc=Costa+Mesa%2C+CA&cflt=hotdogs","2701 Harbor Blvd","Costa Mesa, CA 92626","(714) 432-1777","https://s3-media2.fl.yelpcdn.com/photo/ryUKejGaIH_vMyC0B7bpnA/30s.jpg","Myquel Z.","https://www.yelp.com/user_details?userid=RmDKCXgJQhF3dt_zZJwogg","Wow. Blown away by the food. Everything I've ordered has been excellent.  Even better knowing how immensely they support our fire fighters.  Highly recommended!","read more","https://www.yelp.com/biz/firehouse-subs-costa-mesa?hrid=4t6kps__sKpO3FVkaurxNg"
