"url","Analyticsimg","Analyticsimg_alt","Analyticsimg_link","Indexedbiz","Biznameclick","Biznameclick_link","Reviewcount","Business","Categorylist 1","Categorylist 1_link","Categorylist 2","Categorylist 2_link","Categorylist 4","Categorylist 4_link","Secondary 1","Servicearea","Phonenumber","","Smalllow","Photoboximg","Photoboximg_alt","Photoboximg_link","Snippet","Readmore","Readmore_link"
"https://www.yelp.com/search?find_loc=Fountain+Valley,+CA","https://s3-media3.fl.yelpcdn.com/bphoto/-xQGeEUR6-LwSjxYOILjGw/90s.jpg","Kech Cafe","https://www.yelp.com/biz/kech-cafe-fountain-valley-3","1.","Kech Cafe","https://www.yelp.com/biz/kech-cafe-fountain-valley-3","486 reviews","$","Coffee & Tea","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=coffee","Sandwiches","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=sandwiches","Mediterranean","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=mediterranean","17966 Brookhurst St","","(714) 968-1122","","","https://s3-media2.fl.yelpcdn.com/photo/u7EkPYVgNXpbtOemrRYeWg/30s.jpg","Ritu R.","https://www.yelp.com/user_details?userid=ExEEZsG3QHufx7qSfCMzZg","*one extra star for service*  I like small businesses especially when there's love and care in the experience, you definitely find that here.  Emily is right, it looks like it used…","read more","https://www.yelp.com/biz/kech-cafe-fountain-valley-3?hrid=ajHda5Xx8TkilV0U3vQ4_g"
"https://www.yelp.com/search?find_loc=Fountain+Valley,+CA","https://s3-media2.fl.yelpcdn.com/bphoto/JSVP1U08vC8MS1EcoPaUjg/90s.jpg","Mr Kebap","https://www.yelp.com/biz/mr-kebap-fountain-valley","2.","Mr Kebap","https://www.yelp.com/biz/mr-kebap-fountain-valley","295 reviews","$$","Mediterranean","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=mediterranean","Turkish","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=turkish","Middle Eastern","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=mideastern","16937 Bushard St","","(714) 369-2001","","","","","","","",""
"https://www.yelp.com/search?find_loc=Fountain+Valley,+CA","https://s3-media4.fl.yelpcdn.com/bphoto/McuuMn17oMwidT2KcOZ7UA/90s.jpg","Company 77 Pizza Fire Truck","https://www.yelp.com/biz/company-77-pizza-fire-truck-irvine","3.","Company 77 Pizza Fire Truck","https://www.yelp.com/biz/company-77-pizza-fire-truck-irvine","38 reviews","$$$$","Pizza","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=pizza","Food Trucks","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=foodtrucks","","","","Serving Irvine and the Surrounding Area","(949) 282-9178","","","https://s3-media1.fl.yelpcdn.com/photo/VA_7kqClqQapbOaM9sKRFA/30s.jpg","Richard S.","https://www.yelp.com/user_details?userid=CIpYGeor-254svaNfTSiXw","They showed up as catering for an event I was invited to.  They offer pizza, which is delivered from the top of the truck to the bottom via a slide. How fun!  Anyway, aside from…","read more","https://www.yelp.com/biz/company-77-pizza-fire-truck-irvine?hrid=KLY6ln5Bxvwgr4LpVCIQCA"
"https://www.yelp.com/search?find_loc=Fountain+Valley,+CA","https://s3-media3.fl.yelpcdn.com/bphoto/EoSozl6aqYAEgBNIgUKzcg/90s.jpg","Kip Barry's Cabaret","https://www.yelp.com/biz/kip-barrys-cabaret-anaheim-2","4.","Kip Barry’s Cabaret","https://www.yelp.com/biz/kip-barrys-cabaret-anaheim-2","34 reviews","$$$","Performing Arts","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=theater","Magicians","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=magicians","Dinner Theater","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=dinnertheater","","Serving Anaheim and the Surrounding Area","(714) 206-1390","Book an activity","Book Online","https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/d53e550ec367/assets/img/default_avatars/user_30_square.png","Roxanne V.","https://www.yelp.com/user_details?userid=QyV6LIb0jNyp1vk0WRooVA","We attended the magic show last night and had a great time!  We took our two boys and their friends with another family.  All 4 boys had a blast.    We also had great seating.…","read more","https://www.yelp.com/biz/kip-barrys-cabaret-anaheim-2?hrid=m9QocTHxC_3sl9kw1BleTg"
"https://www.yelp.com/search?find_loc=Fountain+Valley,+CA","https://s3-media4.fl.yelpcdn.com/bphoto/THKcp2fiqTlBhIqj7CMHmQ/90s.jpg","Ikram Bakery & Grill","https://www.yelp.com/biz/ikram-bakery-and-grill-fountain-valley-4","5.","Ikram Bakery & Grill","https://www.yelp.com/biz/ikram-bakery-and-grill-fountain-valley-4","307 reviews","$","Turkish","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=turkish","Halal","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=halal","Mediterranean","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=mediterranean","9895 Warner Ave","","(714) 964-5726","This restaurant accepts pickup orders","Start Order","https://s3-media2.fl.yelpcdn.com/photo/kBqz9lSssm58PbTaM3D2_g/30s.jpg","Chad B.","https://www.yelp.com/user_details?userid=gH8VxbSsB6Ni_63BdvbYmg","Some seriously good Turkish food at a very reasonable price. I've eaten at plenty of Arabic and Turkish places and really appreciate their ability to deliver good food at a good…","read more","https://www.yelp.com/biz/ikram-bakery-and-grill-fountain-valley-4?hrid=YTA6Lx5lwwwHEJIHDhusBw"
"https://www.yelp.com/search?find_loc=Fountain+Valley,+CA","https://s3-media3.fl.yelpcdn.com/bphoto/1rC5EAknfZmWBQzkUKAY5Q/90s.jpg","Istanbul Grill California","https://www.yelp.com/biz/istanbul-grill-california-fountain-valley-2","6.","Istanbul Grill California","https://www.yelp.com/biz/istanbul-grill-california-fountain-valley-2","784 reviews","$$","Mediterranean","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=mediterranean","Turkish","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=turkish","Halal","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=halal","18010 Newhope St","","(714) 430-1434","This restaurant accepts pickup orders","Start Order","https://s3-media1.fl.yelpcdn.com/photo/QMQX6M91aLlz9ctdel9ySQ/30s.jpg","Stephanie M.","https://www.yelp.com/user_details?userid=7unqKnknqYjiVAb2G8R_Xw","It was really good! The bread was very fresh and warm.  I really enjoyed the Lamb Shish Kabob. Their meat is tender and plentiful! The atmosphere is great as well. We had quite the…","read more","https://www.yelp.com/biz/istanbul-grill-california-fountain-valley-2?hrid=trwFJRhjPI6pRxIT7BVBlg"
"https://www.yelp.com/search?find_loc=Fountain+Valley,+CA","https://s3-media2.fl.yelpcdn.com/bphoto/ZPbNioQVSi66QglWe4FXIQ/90s.jpg","Burning Buns","https://www.yelp.com/biz/burning-buns-los-angeles-3","7.","Burning Buns","https://www.yelp.com/biz/burning-buns-los-angeles-3","63 reviews","$$","Food Trucks","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=foodtrucks","Burgers","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=burgers","Sandwiches","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=sandwiches","","Serving Los Angeles and the Surrounding Area","(657) 400-2867","","","https://s3-media4.fl.yelpcdn.com/photo/05HQjXux5bysb0753SJlxg/30s.jpg","Alicia M.","https://www.yelp.com/user_details?userid=Ern3HBBhK40pUilS68DzLA","BURNING BUNS IS AMAZING!!!  I really love their carne asada fries and the sauces they have are so so good. I honestly hate onions, but their grilled onions definitely make me a fan.…","read more","https://www.yelp.com/biz/burning-buns-los-angeles-3?hrid=_SE7assgPp2Ua59T2o42fQ"
"https://www.yelp.com/search?find_loc=Fountain+Valley,+CA","https://s3-media4.fl.yelpcdn.com/bphoto/ZKt6CxrZZZqKFTxOghsSVA/90s.jpg","Au Lac","https://www.yelp.com/biz/au-lac-fountain-valley-6","8.","Au Lac","https://www.yelp.com/biz/au-lac-fountain-valley-6","970 reviews","$$","Vietnamese","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=vietnamese","Vegan","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=vegan","Live/Raw Food","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=raw_food","16563 Brookhurst St","","(714) 418-0658","","","https://s3-media1.fl.yelpcdn.com/photo/8gNaJXsq_DeKvR2igNPqiQ/30s.jpg","Andrew M.","https://www.yelp.com/user_details?userid=OptWXPBLhbAeAaAlV5Sndw","Two words: Game Changer    Definitely will be frequenting this restaurant the watercress beef was excellent and if you're dining with a friend you must try Grilled fish & rice paper…","read more","https://www.yelp.com/biz/au-lac-fountain-valley-6?hrid=Mgaf99XJBMunqp62_hHFpA"
"https://www.yelp.com/search?find_loc=Fountain+Valley,+CA","https://s3-media2.fl.yelpcdn.com/bphoto/seywySNtVw1Wphm8ru4ryw/90s.jpg","Beijing Wok & Grill","https://www.yelp.com/biz/beijing-wok-and-grill-fountain-valley","9.","Beijing Wok & Grill","https://www.yelp.com/biz/beijing-wok-and-grill-fountain-valley","217 reviews","$","Chinese","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=chinese","Korean","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=korean","","","17431 Brookhurst St","","(714) 968-5888","","","https://s3-media3.fl.yelpcdn.com/photo/IZed7UjpKPrZU-FBtrIHgw/30s.jpg","Bryan K.","https://www.yelp.com/user_details?userid=r_nlk57-1s9UzyXiREgv_A","If you've never been here before make sure you get the jia jiang noodles.  It has to be there most popular dish and for good reason.  Homemade noodles, flavorful sauce that isn't too…","read more","https://www.yelp.com/biz/beijing-wok-and-grill-fountain-valley?hrid=wEkEdtD3Crq0kW-XDdI6oQ"
"https://www.yelp.com/search?find_loc=Fountain+Valley,+CA","https://s3-media3.fl.yelpcdn.com/bphoto/Fq9EuTM2N7AvO7czpCgW8A/90s.jpg","The Tropic Truck","https://www.yelp.com/biz/the-tropic-truck-los-angeles-5","10.","The Tropic Truck","https://www.yelp.com/biz/the-tropic-truck-los-angeles-5","30 reviews","$$","Food Trucks","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=foodtrucks","Caribbean","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=caribbean","","","","Serving Los Angeles and the Surrounding Area","(323) 477-6764","","","https://s3-media4.fl.yelpcdn.com/photo/XKoXYCPEU84B_66L64de2w/30s.jpg","Samir C.","https://www.yelp.com/user_details?userid=cDS9P_m5XO-xmWZEdhnAzw","I don't normally go to food trucks because I get tired of tacos and all that other stuff but when I saw this truck at Abbot Kinney's first fridays  I was amazed. They have a wide…","read more","https://www.yelp.com/biz/the-tropic-truck-los-angeles-5?hrid=Q82mUrxl5A3pS_3pXNzIAg"
"https://www.yelp.com/search?find_loc=Fountain+Valley,+CA&start=10","https://s3-media3.fl.yelpcdn.com/bphoto/xtyazjkSN_MSAlufU37-4A/90s.jpg","Tokyo Doggie Style","https://www.yelp.com/biz/tokyo-doggie-style-los-angeles-6","11.","Tokyo Doggie Style","https://www.yelp.com/biz/tokyo-doggie-style-los-angeles-6","144 reviews","$$","Food Trucks","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=foodtrucks","Japanese","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=japanese","Hot Dogs","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=hotdog","","Serving Los Angeles and the Surrounding Area","","","","https://s3-media4.fl.yelpcdn.com/photo/mEiArHhfGZPaE6SDsYm2sw/30s.jpg","Saori K.","https://www.yelp.com/user_details?userid=hB0lK4ppyWxfY7GG8t3QIg","《Review in English & 日本語》 I remember the first time I got their food was a couple months after they have opened in 2013. I found them in the empty parking lot somewhere in South Bay…","read more","https://www.yelp.com/biz/tokyo-doggie-style-los-angeles-6?hrid=LVcnKZJ__86CuOHYrBPglQ"
"https://www.yelp.com/search?find_loc=Fountain+Valley,+CA&start=10","https://s3-media4.fl.yelpcdn.com/bphoto/LiXU6RK6HJoljgPl19chBw/90s.jpg","The Recess Room","https://www.yelp.com/biz/the-recess-room-fountain-valley","12.","The Recess Room","https://www.yelp.com/biz/the-recess-room-fountain-valley","376 reviews","$$","American (New)","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=newamerican","Gastropubs","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=gastropubs","","","18380 Brookhurst St","","(714) 377-0398","This restaurant takes reservations","","https://s3-media3.fl.yelpcdn.com/photo/Jlpn4pRzJBujnOMlil-xrw/30s.jpg","Jacqueline K.","https://www.yelp.com/user_details?userid=YBWcDWwZvHmbV6Ngvrlxrw","Came here for my 21st birthday dinner & I loved the ambience here!! Book your reservations ahead of time!  Food is very delectable & exotic.  **Food Recommendations: - BLUE CRAB…","read more","https://www.yelp.com/biz/the-recess-room-fountain-valley?hrid=gwRhE-yZomHYAq2RCf_ciw"
"https://www.yelp.com/search?find_loc=Fountain+Valley,+CA&start=10","https://s3-media4.fl.yelpcdn.com/bphoto/9bs7YTPt4K1_n8H7P9IGoA/90s.jpg","Okamoto Kitchen","https://www.yelp.com/biz/okamoto-kitchen-los-angeles-2","13.","Okamoto Kitchen","https://www.yelp.com/biz/okamoto-kitchen-los-angeles-2","99 reviews","$$","Food Trucks","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=foodtrucks","Japanese","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=japanese","Caterers","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=catering","","Serving Los Angeles and the Surrounding Area","(818) 373-9767","This restaurant accepts pickup and delivery","","https://s3-media2.fl.yelpcdn.com/photo/UWr7jBJ_ad59NnYA8IY8og/30s.jpg","Annie S.","https://www.yelp.com/user_details?userid=-FRL7fgqCcUHTm2mtKpzJw","The food was great and the team was awesome!  I had a vegan version of the nom bomb sandwich. It was fried tofu between two fried rice cakes. It was delicious! The team was really…","read more","https://www.yelp.com/biz/okamoto-kitchen-los-angeles-2?hrid=_voeabjc9bT232Pw9RCofg"
"https://www.yelp.com/search?find_loc=Fountain+Valley,+CA&start=10","https://s3-media4.fl.yelpcdn.com/bphoto/gChXw69neEl1SSvxAUQMAA/90s.jpg","Sensitive Sweets","https://www.yelp.com/biz/sensitive-sweets-fountain-valley-2","14.","Sensitive Sweets","https://www.yelp.com/biz/sensitive-sweets-fountain-valley-2","365 reviews","$","Bakeries","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=bakeries","Vegan","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=vegan","Gluten-Free","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=gluten_free","17431 Brookhurst St","","(714) 968-9169","","","https://s3-media2.fl.yelpcdn.com/photo/qcRNhgwTiyVN7YWa7ac_6g/30s.jpg","C F.","https://www.yelp.com/user_details?userid=2un1zwXiktXXmMk7RoICGw","Sensitive Sweets was an excellent choice for our wedding cake. My husband and I feel that they are the best gluten free bakery in southern California! They created a perfect custom…","read more","https://www.yelp.com/biz/sensitive-sweets-fountain-valley-2?hrid=EBbNN5BI4crTQ28ZLrLwnA"
"https://www.yelp.com/search?find_loc=Fountain+Valley,+CA&start=10","https://s3-media1.fl.yelpcdn.com/bphoto/x0VK1Qb2rcvqKFSQ0YaQLQ/90s.jpg","G Burger - Fountain Valley","https://www.yelp.com/biz/g-burger-fountain-valley-fountain-valley-3","15.","G Burger - Fountain Valley","https://www.yelp.com/biz/g-burger-fountain-valley-fountain-valley-3","419 reviews","$$","Burgers","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=burgers","","","","","18120 Brookhurst St","","(714) 965-6707","","","https://s3-media1.fl.yelpcdn.com/photo/zX5QXuWi9FztMz7EDk6QrQ/30s.jpg","Longitude D.","https://www.yelp.com/user_details?userid=w0yJ0mk34fQE6dbTxrUGaw","Consistently best burgers experiences.  I would drive up from San Diego just to eat here.  Also superior staff.  Friendly owner in Fountain Valley greeted us and gifted us a side of…","read more","https://www.yelp.com/biz/g-burger-fountain-valley-fountain-valley-3?hrid=jkzBwI5Sp5bTvWa-IRHevQ"
"https://www.yelp.com/search?find_loc=Fountain+Valley,+CA&start=10","https://s3-media3.fl.yelpcdn.com/bphoto/7ei9wbufkLM8Tn9bo-0H8w/90s.jpg","Tsuruhashi","https://www.yelp.com/biz/tsuruhashi-fountain-valley","16.","Tsuruhashi","https://www.yelp.com/biz/tsuruhashi-fountain-valley","1046 reviews","$$","Japanese","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=japanese","Barbeque","https://www.yelp.com/search?find_loc=Fountain+Valley%2C+CA&cflt=bbq","","","18798 Brookhurst St","","(714) 593-8393","","","https://s3-media3.fl.yelpcdn.com/photo/p46mD7C9eWP1feW-ecfyRQ/30s.jpg","Tina K.","https://www.yelp.com/user_details?userid=_q11oTzI6QwxBMIdCbx_yQ","This is probably the best Japanese barbecue place there is. Everything tastes so delicious! Yummy yummy!  Here's a list of recommendation of the uncommon stuff *raw beef ( it doesn't…","read more","https://www.yelp.com/biz/tsuruhashi-fountain-valley?hrid=QUDbWk2tziYgYatr4LPErQ"
