"url","Analyticsimg","Analyticsimg_alt","Analyticsimg_link","Searchresult","Biznameclick","Biznameclick_link","Reviewcount","Business","Categorylisttext","Categorylistlink","Categorylistlink_link","Tagflame","Secondary 1","Secondary 2","Phonenumber","Startorder","Startorder_link","Photoboximg","Photoboximg_alt","Photoboximg_link","Snippet","Readmore","Readmore_link"
"https://www.yelp.com/search?cflt=restaurants&find_loc=Huntington+Beach%2C+CA","https://s3-media4.fl.yelpcdn.com/bphoto/6qMoHgT9sEgdWkoifircnA/90s.jpg","The Black Trumpet Bistro","https://www.yelp.com/biz/the-black-trumpet-bistro-huntington-beach","1.","The Black Trumpet Bistro","https://www.yelp.com/biz/the-black-trumpet-bistro-huntington-beach","548 reviews","$$","Mediterranean, Tapas/Small Plates","Mediterranean; Tapas/Small Plates","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=mediterranean; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=tapasmallplates","","18344 Beach Blvd","Huntington Beach, CA 92646","(714) 842-1122","","","https://s3-media2.fl.yelpcdn.com/photo/2WygOqlkk4RNq55RhZxT2g/30s.jpg","F S.","https://www.yelp.com/user_details?userid=g7US69SPuwtoCCJI_XA4fw","Hands down an AMAZING experience! Why we've never eaten here, I don't know but I was kicking myself in the rear for not coming here sooner.  2 stars - the service awesome! David sat…","read more","https://www.yelp.com/biz/the-black-trumpet-bistro-huntington-beach?hrid=UXlFzUddizGue47HDVT2Rw"
"https://www.yelp.com/search?cflt=restaurants&find_loc=Huntington+Beach%2C+CA","https://s3-media2.fl.yelpcdn.com/bphoto/hIQq-f-_w8aTx2vPOFouWw/90s.jpg","Bunz","https://www.yelp.com/biz/bunz-huntington-beach-3","2.","Bunz","https://www.yelp.com/biz/bunz-huntington-beach-3","232 reviews","$","Hot Dogs, Burgers, Breakfast & Brunch","Hot Dogs; Burgers; Breakfast & Brunch","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=hotdog; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=burgers; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=breakfast_brunch","","7491 Ctr Ave","Huntington Beach, CA 92647","(714) 766-7060","","","https://s3-media2.fl.yelpcdn.com/photo/OYkP-0WxJP7Ewz3nW3cXBA/30s.jpg","Gizelle M.","https://www.yelp.com/user_details?userid=M-Xtpt3o_tx-PPAX9DOSNw","Better than In-n-Out? Almost!  I made sure not to add anything fancy such as bacon or an egg, so as to be able to really compare. I found that their meat was similar to The Habit - a…","read more","https://www.yelp.com/biz/bunz-huntington-beach-3?hrid=TvqK-6mcfYB_cpNrpDdyNg"
"https://www.yelp.com/search?cflt=restaurants&find_loc=Huntington+Beach%2C+CA","https://s3-media4.fl.yelpcdn.com/bphoto/VuKrlD1sbptTkEWTXU9FyA/90s.jpg","Rollrritto + Poke Bar","https://www.yelp.com/biz/rollrritto-poke-bar-huntington-beach","3.","Rollrritto + Poke Bar","https://www.yelp.com/biz/rollrritto-poke-bar-huntington-beach","95 reviews","$","Sushi Bars, Asian Fusion, Poke","Sushi Bars; Asian Fusion; Poke","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=sushi; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=asianfusion; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=poke","Opened 7 weeks ago","18581 Beach Blvd","Huntington Beach, CA 92648","(657) 845-4911","","","https://s3-media1.fl.yelpcdn.com/photo/cqif8Uir5VqaUGFcLzygVA/30s.jpg","Vanna H.","https://www.yelp.com/user_details?userid=qRWdcFjvCWfXX1O71mQmbA","Best poke I've ever tried! My #1 used to be lowkey poke hehe if you check in on yelp, it's bogo half so I paid 2 small bowls for $15  The reason why I like this place a lot is that…","read more","https://www.yelp.com/biz/rollrritto-poke-bar-huntington-beach?hrid=DUu1x-h30GdLzIhEIOjU7Q"
"https://www.yelp.com/search?cflt=restaurants&find_loc=Huntington+Beach%2C+CA","https://s3-media3.fl.yelpcdn.com/bphoto/dLbNhsxqmEwPxLS4ZLRcBQ/90s.jpg","Watertable","https://www.yelp.com/biz/watertable-huntington-beach","4.","Watertable","https://www.yelp.com/biz/watertable-huntington-beach","304 reviews","$$$","American (New), Breakfast & Brunch, Wine Bars","American (New); Breakfast & Brunch; Wine Bars","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=newamerican; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=breakfast_brunch; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=wine_bars","","21500 Pacific Coast Hwy","Huntington Beach, CA 92648","(714) 845-4776","","","https://s3-media2.fl.yelpcdn.com/photo/3yqSi5Tquhm-4hgp2dCcuQ/30s.jpg","Joy D.","https://www.yelp.com/user_details?userid=hdbSw_DTCwm-78tcEPxmgg","Came here for reverse happy hour last night. LOVE THIS PLACE!!  You can sit at the bar area to catch up on some hockey playoff, or cozy up at the lounge. Staff is so friendly and…","read more","https://www.yelp.com/biz/watertable-huntington-beach?hrid=LNJghDQLBHm4bTaSAh2Pxw"
"https://www.yelp.com/search?cflt=restaurants&find_loc=Huntington+Beach%2C+CA","https://s3-media4.fl.yelpcdn.com/bphoto/t6rRgeqGzNB_58faAqnjaQ/90s.jpg","LSXO","https://www.yelp.com/biz/lsxo-huntington-beach-2","5.","LSXO","https://www.yelp.com/biz/lsxo-huntington-beach-2","82 reviews","$$$","Vietnamese","Vietnamese","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=vietnamese","","21016 Pacific Coast Hwy","Huntington Beach, CA 92648","(714) 374-0083","","","https://s3-media4.fl.yelpcdn.com/photo/jIakwvW6fiIteMAo8lKuAQ/30s.jpg","Mary V.","https://www.yelp.com/user_details?userid=W6sYe34CJvVyR7chX3LwYw","I am in love with this place. A very small homey chill atmosphere. I must add I LOVE his selection of music! Just love it!  Ordered: -Cool runnings off the alcohol menu comes in a…","read more","https://www.yelp.com/biz/lsxo-huntington-beach-2?hrid=4VLnmfa61m9Hvc1EJ9Etgw"
"https://www.yelp.com/search?cflt=restaurants&find_loc=Huntington+Beach%2C+CA","https://s3-media2.fl.yelpcdn.com/bphoto/y6NwQmee2Fg32jw-vPGWtg/90s.jpg","Slapfish","https://www.yelp.com/biz/slapfish-huntington-beach","6.","Slapfish","https://www.yelp.com/biz/slapfish-huntington-beach","1725 reviews","$$","Seafood, Sandwiches","Seafood; Sandwiches","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=seafood; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=sandwiches","","19696 Beach Blvd","Huntington Beach, CA 92648","(714) 963-3900","","","https://s3-media4.fl.yelpcdn.com/photo/Qis27Om-ayaVwft6SZGPqA/30s.jpg","Souphan K.","https://www.yelp.com/user_details?userid=bd_rbeJeBX04Z-gFyhsP5g","Slapfish?! More like slapthisfish in your mouth lol. I thoroughly enjoyed their lobster grinder and surf n turf burger. I came with a couple of friends so we made sure to order…","read more","https://www.yelp.com/biz/slapfish-huntington-beach?hrid=btEFZhI3ov0nHnGMJAEcyQ"
"https://www.yelp.com/search?cflt=restaurants&find_loc=Huntington+Beach%2C+CA","https://s3-media2.fl.yelpcdn.com/bphoto/pHQt2WEY7T03uG5QM4AxDg/90s.jpg","Burnt Crumbs","https://www.yelp.com/biz/burnt-crumbs-huntington-beach","7.","Burnt Crumbs","https://www.yelp.com/biz/burnt-crumbs-huntington-beach","237 reviews","$$","Sandwiches, Salad","Sandwiches; Salad","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=sandwiches; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=salad","","21058 Pacific Coast Hwy","Huntington Beach, CA 92648","(714) 374-0777","","","https://s3-media2.fl.yelpcdn.com/photo/_gtGDE1xccSEyzWr96pJ6g/30s.jpg","Richard D.","https://www.yelp.com/user_details?userid=k6dV5vKWgeYWs-vEwBz3RQ","Go for the Western + Xtra BBQ! They have this sweet Facebook deal expiring on 4/30/17 buy 1 get 1 free, two sandwhiches for $12ish.  Glutteneous goodness, 2 Sandwiches for the price…","read more","https://www.yelp.com/biz/burnt-crumbs-huntington-beach?hrid=aM3xnSVt43By4oIJ5UUXjQ"
"https://www.yelp.com/search?cflt=restaurants&find_loc=Huntington+Beach%2C+CA","https://s3-media4.fl.yelpcdn.com/bphoto/fyBwt1B18rBz-4HI1aBmUA/90s.jpg","Ramain39 Izakaya","https://www.yelp.com/biz/ramain39-izakaya-huntington-beach","8.","Ramain39 Izakaya","https://www.yelp.com/biz/ramain39-izakaya-huntington-beach","96 reviews","$$","Ramen, Izakaya","Ramen; Izakaya","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=ramen; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=izakaya","Opened 6 weeks ago","18583 Beach Blvd","Huntington Beach, CA 92648","(657) 329-1189","","","https://s3-media1.fl.yelpcdn.com/photo/7Up8GORXHvhJpny_cmxUtw/30s.jpg","Jessica T.","https://www.yelp.com/user_details?userid=kW-_u7CKAIjpUUSlrZirhQ","Black ramen-  gooooood. Spicy, deep in flavor, fresh toppings. Can't get any better   Spicy tonkotsu-  'liiiiit' as my girlfriend says (I didn't actually have any)  Tsukemen-  good.…","read more","https://www.yelp.com/biz/ramain39-izakaya-huntington-beach?hrid=TyvYYxPnbDEJYrTbZ0LZYA"
"https://www.yelp.com/search?cflt=restaurants&find_loc=Huntington+Beach%2C+CA","https://s3-media4.fl.yelpcdn.com/bphoto/lRFoXcYwmwLDknuN7r3A9w/90s.jpg","25 Degrees","https://www.yelp.com/biz/25-degrees-huntington-beach","9.","25 Degrees","https://www.yelp.com/biz/25-degrees-huntington-beach","1137 reviews","$$","American (New), Burgers, Bars","American (New); Burgers; Bars","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=newamerican; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=burgers; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=bars","","412 Walnut Ave","Huntington Beach, CA 92648","(714) 960-2525","","","https://s3-media3.fl.yelpcdn.com/photo/kd1ffDZ2fjQjVtPGXcPLTQ/30s.jpg","Shirlene L.","https://www.yelp.com/user_details?userid=fG4fB8h0NWnT7W-xt8wadw","Bacon Wrapped Dates!  Daily happy hour until 7pm with snacks & drinks at $5. Must be back for their burgers.  Street metered parking wasn't too difficult to find on a Saturday.","read more","https://www.yelp.com/biz/25-degrees-huntington-beach?hrid=dgHzrN5gYN8GQfrjKuVLPg"
"https://www.yelp.com/search?cflt=restaurants&find_loc=Huntington+Beach%2C+CA","https://s3-media1.fl.yelpcdn.com/bphoto/7AQ_Hl4-BK9xy6kDzur3fQ/90s.jpg","Secret Spot","https://www.yelp.com/biz/secret-spot-huntington-beach","10.","Secret Spot","https://www.yelp.com/biz/secret-spot-huntington-beach","1220 reviews","$","Vegetarian, Vegan, Juice Bars & Smoothies","Vegetarian; Vegan; Juice Bars & Smoothies","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=vegetarian; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=vegan; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=juicebars","","3801 Warner Ave","Huntington Beach, CA 92649","(562) 592-4494","","","","","","","",""
