"url","Analyticsimg","Analyticsimg_alt","Analyticsimg_link","Indexedbiz","Biznameclick","Biznameclick_link","Reviewcount","Business","Categorylisttext","Categorylistlink","Categorylistlink_link","Secondary","Phonenumber","Photoboximg","Photoboximg_alt","Photoboximg_link","Snippet","Readmore","Readmore_link"
"https://www.yelp.com/search?find_loc=Irvine,+CA","https://s3-media4.fl.yelpcdn.com/bphoto/McuuMn17oMwidT2KcOZ7UA/90s.jpg","Company 77 Pizza Fire Truck","https://www.yelp.com/biz/company-77-pizza-fire-truck-irvine","1.","Company 77 Pizza Fire Truck","https://www.yelp.com/biz/company-77-pizza-fire-truck-irvine","39 reviews","$$$$","Pizza, Food Trucks","Pizza; Food Trucks","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=pizza; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=foodtrucks","","(949) 282-9178","https://s3-media1.fl.yelpcdn.com/photo/VA_7kqClqQapbOaM9sKRFA/30s.jpg","Richard S.","https://www.yelp.com/user_details?userid=CIpYGeor-254svaNfTSiXw","They showed up as catering for an event I was invited to.  They offer pizza, which is delivered from the top of the truck to the bottom via a slide. How fun!  Anyway, aside from…","read more","https://www.yelp.com/biz/company-77-pizza-fire-truck-irvine?hrid=KLY6ln5Bxvwgr4LpVCIQCA"
"https://www.yelp.com/search?find_loc=Irvine,+CA","https://s3-media4.fl.yelpcdn.com/bphoto/U9jdtH8U7nMUWC19joHVOA/90s.jpg","S'wich Bistro","https://www.yelp.com/biz/swich-bistro-irvine-5","2.","S’wich Bistro","https://www.yelp.com/biz/swich-bistro-irvine-5","95 reviews","$","Breakfast & Brunch, Burgers, Sandwiches","Breakfast & Brunch; Burgers; Sandwiches","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=breakfast_brunch; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=burgers; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=sandwiches","16277 Laguna Canyon Rd
Irvine, CA 92618","(949) 753-0227","https://s3-media2.fl.yelpcdn.com/photo/62KDK5sXacOeIdFU2ft3Wg/30s.jpg","Jodie S.","https://www.yelp.com/user_details?userid=Q8GjGHyQPHg_AKqms0FKIw","So I was down in Irvine picking up an order for work just before noon and I thought I should pick up something for lunch to bring back to the office while down there.  I searched…","read more","https://www.yelp.com/biz/swich-bistro-irvine-5?hrid=aSd94FgbJViH_x5_bRCn6g"
"https://www.yelp.com/search?find_loc=Irvine,+CA","https://s3-media4.fl.yelpcdn.com/bphoto/43hnHPA4lMSDYXBH3iObHA/90s.jpg","The Burnt Truck","https://www.yelp.com/biz/the-burnt-truck-irvine-4","3.","The Burnt Truck","https://www.yelp.com/biz/the-burnt-truck-irvine-4","745 reviews","$","Food Trucks, American (Traditional), Asian Fusion","Food Trucks; American (Traditional); Asian Fusion","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=foodtrucks; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=tradamerican; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=asianfusion","Irvine, CA 92604","(949) 421-8900","https://s3-media4.fl.yelpcdn.com/photo/17QnPpJuw2zJrVrc1JYwmA/30s.jpg","Greg H.","https://www.yelp.com/user_details?userid=q-0WI1Ptt24xw2yASEuZ2Q","I always get the fried chicken sliders with gravy so cant mention anything else but I go here about once a week. That should tell you how amazing these little bad boys are. Yum!!","read more","https://www.yelp.com/biz/the-burnt-truck-irvine-4?hrid=nAWQITdOA2tIVMTIFSO1BA"
"https://www.yelp.com/search?find_loc=Irvine,+CA","https://s3-media4.fl.yelpcdn.com/bphoto/zUAPejmLP2rcVq8DphVOaw/90s.jpg","The Stand","https://www.yelp.com/biz/the-stand-irvine","4.","The Stand","https://www.yelp.com/biz/the-stand-irvine","177 reviews","$$","American (New), Burgers","American (New); Burgers","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=newamerican; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=burgers","5633 Alton Pkwy
Irvine, CA 92618","(949) 262-9090","https://s3-media3.fl.yelpcdn.com/photo/7AJa0lkJuV0m8jIHwIl1SQ/30s.jpg","Erica G.","https://www.yelp.com/user_details?userid=zTpQoYQqvj33i-hCyo8BBQ","The Stand's motto reads ""Always the Finest"", but I think they need to fix it and obnoxiously put FINEST in bold, a fun font, a different color, because they are the dictionary…","read more","https://www.yelp.com/biz/the-stand-irvine?hrid=LtayNPrD20AqIITUQO7b1g"
"https://www.yelp.com/search?find_loc=Irvine,+CA","https://s3-media4.fl.yelpcdn.com/bphoto/KApgsQPBcBljPboccbuXRg/90s.jpg","Falasophy","https://www.yelp.com/biz/falasophy-irvine-4","5.","Falasophy","https://www.yelp.com/biz/falasophy-irvine-4","140 reviews","$","Food Trucks, Falafel","Food Trucks; Falafel","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=foodtrucks; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=falafel","16221 Construction Cir
Irvine, CA 92606","(949) 345-5018","https://s3-media3.fl.yelpcdn.com/photo/x4hzGXn44rp2SGQxHDZm2A/30s.jpg","Cecilia L.","https://www.yelp.com/user_details?userid=bBbJI8xFvO37OLQabLsrQQ","Falasophy has some really delicious falafels! It is crispy on the outside and soft on the inside. Super fresh and filled with flavors.   I only tried otheir Modern Taco and it was…","read more","https://www.yelp.com/biz/falasophy-irvine-4?hrid=zlU71-w5P65jlCtRX2YnWQ"
"https://www.yelp.com/search?find_loc=Irvine,+CA","https://s3-media3.fl.yelpcdn.com/bphoto/2PMo0clxW4FFFyeadesu9g/90s.jpg","Square One Pizza Cafe","https://www.yelp.com/biz/square-one-pizza-cafe-irvine","6.","Square One Pizza Cafe","https://www.yelp.com/biz/square-one-pizza-cafe-irvine","248 reviews","$$","Pizza, Italian, Salad","Pizza; Italian; Salad","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=pizza; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=italian; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=salad","5789 Alton Pkwy
Irvine, CA 92618","(949) 451-1750","https://s3-media4.fl.yelpcdn.com/photo/xbAAAllJO6LqlCy3GOwzsw/30s.jpg","Matthew L.","https://www.yelp.com/user_details?userid=M5NRTARYeajKC5w7gWXLfQ","Wrote this in 2016:   Pizza is really good!!!  It's definitely high quality.  Nice beer selection too.  You'll really like the pizzas they offer.  2017 Update:  over a year later and…","read more","https://www.yelp.com/biz/square-one-pizza-cafe-irvine?hrid=37HbN1nTrLJ_HUUPbODPCA"
"https://www.yelp.com/search?find_loc=Irvine,+CA","https://s3-media4.fl.yelpcdn.com/bphoto/pTiqfWQbwfI2mJscKkwRRw/90s.jpg","Dogzilla","https://www.yelp.com/biz/dogzilla-irvine","7.","Dogzilla","https://www.yelp.com/biz/dogzilla-irvine","594 reviews","$","Hot Dogs, Food Trucks","Hot Dogs; Food Trucks","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=hotdog; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=foodtrucks","16221 Construction Cir W
Irvine, CA 92606","(714) 805-8857","https://s3-media3.fl.yelpcdn.com/photo/vdRGiz_nRc0R-cQJaitWMQ/30s.jpg","Mishell D.","https://www.yelp.com/user_details?userid=F3-FdSp4knAqkDStXhRrYQ","I've been a fan for a couple of years now! I love the dogzilla dog! It's so delicious! The taste is so unique from any other hot dog I have ever had. I have tried both the garlic and…","read more","https://www.yelp.com/biz/dogzilla-irvine?hrid=uTZ8Rr03c0a83b90h2Ks8Q"
"https://www.yelp.com/search?find_loc=Irvine,+CA","https://s3-media1.fl.yelpcdn.com/bphoto/6bDocqbaYzKY3B0gq3zqAw/90s.jpg","Miyabi Shabu","https://www.yelp.com/biz/miyabi-shabu-irvine-2","8.","Miyabi Shabu","https://www.yelp.com/biz/miyabi-shabu-irvine-2","555 reviews","$$","Japanese, Hot Pot","Japanese; Hot Pot","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=japanese; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=hotpot","15435 Jeffrey Rd
Irvine, CA 92618","(949) 551-0200","https://s3-media2.fl.yelpcdn.com/photo/uRJVI3COLA77QoFAJn0ZQQ/30s.jpg","Andi P.","https://www.yelp.com/user_details?userid=hdzTAN8DGJKRddkZ8279JQ","If ever there was a 5 star experience, this would be it! From a server who showed us the ropes, to beautiful ingredients, and finally, to flavor. This spot was a win!  Quick note: We…","read more","https://www.yelp.com/biz/miyabi-shabu-irvine-2?hrid=oI7Ck0heHUCCUgqFB10nxw"
"https://www.yelp.com/search?find_loc=Irvine,+CA","https://s3-media2.fl.yelpcdn.com/bphoto/3MIqHIqt2BOBeNlyKWB3dQ/90s.jpg","California Fish Grill","https://www.yelp.com/biz/california-fish-grill-irvine","9.","California Fish Grill","https://www.yelp.com/biz/california-fish-grill-irvine","2302 reviews","$$","Seafood","Seafood","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=seafood","3988 Barranca Pkwy
Irvine, CA 92606","(949) 654-3838","https://s3-media2.fl.yelpcdn.com/photo/HPYJeWwJ0A_KYkXGTdG0qA/30s.jpg","Lisa L.","https://www.yelp.com/user_details?userid=t2GKkQhl2b-vChRK3DXd8Q","Delicious food! Excellent service! Clean place!  I noticed a few people getting up from their tables. I walked over to place my number on the table. Immediately, Jose came over and…","read more","https://www.yelp.com/biz/california-fish-grill-irvine?hrid=jcFaSi0TwJTunxYUMq72IA"
"https://www.yelp.com/search?find_loc=Irvine,+CA","https://s3-media2.fl.yelpcdn.com/bphoto/Blab8sx62sStPJXJyASY4Q/90s.jpg","Mooyah","https://www.yelp.com/biz/mooyah-irvine-2","10.","Mooyah","https://www.yelp.com/biz/mooyah-irvine-2","290 reviews","$$","Burgers, American (Traditional)","Burgers; American (Traditional)","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=burgers; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=tradamerican","5365 Alton Pkwy
Irvine, CA 92604","(949) 333-3758","https://s3-media2.fl.yelpcdn.com/photo/F_XFlGIigaTpghyahxANZQ/30s.jpg","Ali S.","https://www.yelp.com/user_details?userid=guFr9KYvmzgiI1kzA-PxTw","This place is so great! I've tried both the build your own burgers and salads, I can definitely say that both are exceptional!   The burgers are build your own or from the menu, they…","read more","https://www.yelp.com/biz/mooyah-irvine-2?hrid=yKZgjfAfJzgh8gzlfR_Sww"
